SDSS_NAME,RA,DEC,REDSHIFT,g_SDSS,gerr_SDSS,r_SDSS,rerr_SDSS,i_SDSS,ierr_SDSS,LOGBH,LOGEDD_RATIO,LOGLBOL,ra,dec,g_HSC,gerr_HSC,r_HSC,rerr_HSC,i_HSC,ierr_HSC,hsc_id
b'221308.64+003655.6',333.286034,0.615458,1.213,21.055,0.037,20.687,0.038,20.509,0.052,8.766753505229412,-1.308937862009138,45.558186188337835,333.28605132072244,0.6154771960280093,20.443037,0.00109040213,20.2412567,0.00133564754,20.287899,0.000940520549,42635225519391405
b'223538.53+002109.8',338.910551,0.352732,0.7627,19.65,0.018,19.707,0.02,19.797,0.027,8.930824133669528,-1.4134577484300124,45.617736930357076,338.9105483533318,0.3527472845551641,18.9758911,0.000625651039,18.9133205,0.00057834998,19.0905304,0.000498876791,42653088288374751
b'224127.74-000128.4',340.365595,-0.024572,0.8307,19.925,0.02,19.712,0.021,19.715,0.028,8.973332187232264,-1.404172252306374,45.669530480043456,340.3655920726308,-0.0245743992180728,19.7184582,0.00110206194,19.5816936,0.00105861493,19.5974655,0.000892157783,41588786802490246
b'225919.35+002805.5',344.83065,0.468201,1.1104,18.81,0.02,18.39,0.016,18.41,0.013,9.119425725941815,-0.7929140127952152,46.426882258264165,344.8306540128239,0.4681927714961331,18.8585892,0.000632456969,18.4326477,0.000496670313,18.4892502,0.000413048227,42670684769373769
b'233010.93-002951.5',352.545571,-0.497648,0.5469,18.593,0.029,18.668,0.023,18.449,0.049,8.47310470768258,-0.8384330957983721,45.73504215700177,352.54556136536365,-0.497644840629679,18.5457153,0.00072975416,18.5965233,0.000776357483,18.5223446,0.000650637201,41623683411768792
b'233455.74+004320.4',353.732278,0.722346,1.3479,20.301,0.024,19.815,0.021,19.772,0.032,0.0,-999.0,45.57072662414211,353.73229137304776,0.7223465415098452,19.388134,0.000869832002,19.1521111,0.000581857341,19.054184,0.000566749368,42697077343418722
b'000920.01+005618.4',2.333399,0.938469,2.3873,20.471,0.029,20.339,0.036,20.257,0.046,8.751120470124544,-0.17127958864859494,46.680211426593516,2.333421056194497,0.9384626426939215,20.1882019,0.00118215464,20.0765629,0.00128232408,20.0345955,0.0013945268,41654882054203161
b'012802.77-004935.3',22.011556,-0.826495,2.639,20.155,0.052,20.039,0.024,19.986,0.031,8.736204168810772,-0.32515152142359227,46.51142319250474,22.01155972103787,-0.8264915395705676,19.8506927,0.00120692293,19.5809002,0.00109752396,19.7170372,0.00227321801,40643052183767900
b'090046.10+010046.5',135.192104,1.012921,1.742,20.316,0.024,20.19,0.025,19.941,0.029,8.880261397472657,-0.7792841595665791,46.20134778302364,135.1921062373456,1.0129083239768513,20.8059425,0.00171839423,20.6147614,0.00167766155,20.358181,0.00130085484,42045620998926882
b'092027.85+025511.0',140.116079,2.919737,1.0252,19.158,0.021,18.969,0.019,19.066,0.015,8.767285484795902,-0.8554077874718686,46.01224824244159,140.1160690666837,2.919729210565593,19.2034454,0.00109190855,19.0798855,0.000896990183,19.2717133,0.000679455465,43127553325554452
